,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Weekday,Month,WeekN,Gap,InDayChange,InDayHighLow,min25,max25,min100,max100,min250,max250,delta2,delta3,delta4,delta5,nextDayChangeRatio,Target
0,693,2018-04-19,1543.219971,1568.52002,1539.060059,1556.910034,1556.910034,6523700,3,4,16,1.006650260646473,0.8793098317201807,1.8922070226698804,11.877375054543451,2.189591258039256,27.16663607808696,2.664250348071169,42.28760754457312,2.664250348071169,3.409322108588836,7.412761911713647,8.100660426471375,6.96315340209311,-1.9260384154792372,0
1,342,2016-11-23,781.72998,781.75,773.119995,780.119995,780.119995,3540300,2,11,47,-0.4584107218710886,-0.2063765844124964,1.106240713648159,7.825717632067613,7.430912214985586,7.825717632067613,8.234629340579847,38.20565937423512,8.234629340579847,0.0153816080563371,2.5585835676471773,3.0405541650038064,4.310875918518148,0.0320360856519092,0
2,563,2017-10-11,38.9925,39.244999,38.9375,39.137501,37.408146,67622400,2,10,41,0.0449057110920194,0.3704912073972239,0.785688897203733,3.8326412307214,3.423826166111107,9.12168612911693,4.790801538401749,32.47524925007348,4.790801538401749,0.453534322490332,0.7984669230669582,0.7409798597003006,1.961039873240758,-0.3525666666666674,0
3,333,2016-11-10,27.772499,27.772499,26.4575,26.9475,25.440268,228538000,3,11,45,0.1893939462263272,-3.0615047778086955,4.8798552741441705,-0.9741126264031847,9.704054179422943,14.611745059838574,9.704054179422943,16.18888950737546,10.6781742276649,-3.033672882456621,-2.4306559050004584,-0.9741126264031847,-1.8925688839409889,0.5902425527990414,0
4,327,2016-11-02,34.599998,34.900002,34.470001,34.599998,30.635223,21416400,2,11,44,0.2317439165700933,0.0,1.2427775284842422,0.2312081058501686,10.115607521133382,11.21387059039714,10.115607521133382,18.43930453406384,10.115607521133382,-0.780349756089583,-0.4046358615396381,-0.6069451217887365,-0.9248555447893388,-1.974647804302976,0
5,736,2018-06-20,1742.5,1762.930054,1741.359985,1750.079956,1750.079956,4332600,2,6,25,0.4450115214002147,0.4331205539502812,1.2325190586892176,10.040110475958164,-0.8742415995078127,23.454927221622327,-0.8742415995078127,46.36816604966591,-0.8742415995078127,1.5022123366345246,1.94905294944136,1.4982156049560509,2.583880287581557,-1.147830063972834,0
6,593,2017-11-22,43.34,43.75,43.262501,43.740002,41.957573,102355600,2,11,47,0.127064803049571,0.9144992723136902,1.1145381291935006,10.848200235564684,0.7315934736354215,18.421359468616387,0.7315934736354215,37.63717706277196,0.7315934736354215,2.8463716119628826,2.749208836341612,2.206218463364488,3.360772594386241,0.0057106932617083,0
7,1389,2021-01-25,56.380001,56.5,54.060001,55.439999,54.768188,61968500,0,1,4,-0.4941740204729907,-1.6955303336134615,4.4011526767884686,16.72078132613242,12.662337890734817,20.436504697628155,12.662337890734817,20.436504697628155,21.68109707216985,-12.662337890734817,-5.826116627455204,-4.599572593787379,-3.8600343409097104,-0.416591204792445,0
8,1510,2021-07-19,179.152496,190.419998,178.654999,187.797501,187.797501,74727600,0,7,29,-1.3531771303718,4.60336530250208,6.26472606789373,5.278294943871488,10.217122111758025,38.26728130956333,10.217122111758025,46.060250823039446,10.217122111758025,-0.9930936194939016,-5.653691845452191,-7.828910886306196,-9.226693064462015,-1.736308687929944,0
9,342,2016-11-23,27.84,27.877501,27.5825,27.807501,26.252167,109705600,2,11,47,-0.3935634921801986,-0.1168713434551396,1.0608684325858666,4.962693339469808,6.311243142632636,14.600384263224509,6.311243142632636,18.780910949171588,7.012492780275372,-0.4495189984889329,1.051881648768075,1.1507758284356395,1.1148143085565194,0.5009356829770215,0
10,1207,2020-05-05,73.764999,75.25,73.614998,74.389999,73.692627,147751200,1,5,19,0.6481075092358087,0.8401667003651929,2.197878776688786,19.03817474174184,-1.2636134058827004,24.5967203198914,9.961021776596612,41.75964298641812,9.961021776596612,2.8532020816400463,1.2636134058827004,3.3035300887690644,6.378548277705985,1.0211914842671437,0
11,526,2017-08-18,39.465,39.875,39.18,39.375,37.635151,109712400,4,8,33,0.0,-0.2285714285714372,1.7650793650793657,5.568256507936508,2.603179682539684,10.67937015873016,2.603179682539684,34.52063746031745,2.603179682539684,-2.19047365079365,-2.603179682539684,-1.492068571428573,0.0127009523809524,-0.1844615388608162,0
12,1306,2020-09-24,48.529999,49.639999,48.419998,49.16,48.213608,29343400,3,9,39,-0.5940208930766155,1.281531733116355,2.481694467046386,1.6883604556549965,6.285598047192847,2.90886899918633,30.878755085435323,9.2554902359642,39.27990439381611,-1.6069995931651826,-1.13913954434501,-1.48494507729863,-2.359641985353954,1.561872277971018,0
13,971,2019-05-29,1823.119995,1830.0,1807.530029,1819.189941,1819.189941,4279000,2,5,22,-0.7247789792488285,-0.2160331866082986,1.2351635468943034,0.2039347797822954,7.875484399459964,17.53032516355586,7.875484399459964,26.123164453007497,12.110888700214062,-0.2248301789615009,0.2039347797822954,-2.225722124306746,-2.106986089585015,-0.1580115335032508,0
14,791,2018-09-07,67.25,69.232498,66.797501,67.964996,66.054138,29542000,4,9,36,-1.3640363743033246,1.052006241565878,3.5827222001160863,9.946287644892967,4.355193370422628,20.304562366192155,4.355193370422628,37.83564704395775,4.355193370422628,-2.413017136056327,-4.355193370422628,-3.2443200614622376,-2.188631041779218,1.044672178007254,0
